iter	Logloss
334	0.276402879
335	0.2761564149
336	0.2759253575
337	0.2757031446
338	0.2755526259
339	0.2753455566
340	0.2750799887
341	0.2749814452
342	0.2747106044
343	0.2745690981
344	0.2743631255
345	0.2742211047
346	0.274069488
347	0.2740606604
348	0.2739236338
349	0.2736821207
350	0.2736664811
351	0.273504629
352	0.2733331007
353	0.2731374052
354	0.2730096571
355	0.2729234694
356	0.272736278
357	0.2725689704
358	0.2721063037
359	0.2719274308
360	0.2716851945
361	0.2715517159
362	0.2714196995
363	0.2714014722
364	0.2712726273
365	0.2711095759
366	0.2709717849
367	0.270660086
368	0.2705171115
369	0.2702403
370	0.270104595
371	0.2700839983
372	0.2699481696
373	0.2698027211
374	0.2696272566
375	0.2694141171
376	0.2692713303
377	0.269139095
378	0.2689422957
379	0.2687956392
380	0.2687709559
381	0.2685432776
382	0.2683704187
383	0.2682711793
384	0.2681009819
385	0.2679682924
386	0.2677017057
387	0.2675574321
388	0.2673986966
389	0.2671710362
390	0.2668828351
391	0.2667816123
392	0.2666611337
393	0.2664723131
394	0.2664655025
395	0.2663312771
396	0.2659405868
397	0.2657701163
398	0.2656820127
399	0.2655432997
400	0.2654059324
401	0.2652384431
402	0.2650711991
403	0.2647971832
404	0.2646814676
405	0.2644586023
406	0.264337299
407	0.264162271
408	0.2640144238
409	0.2638713102
410	0.2637105742
411	0.26356466
412	0.2634908721
413	0.2633427127
414	0.263245158
415	0.2630245046
416	0.2628803244
417	0.2628596027
418	0.2625778526
419	0.2623775033
420	0.2622359626
421	0.2620905813
422	0.2619665879
423	0.261805951
424	0.2616575129
425	0.2615478748
426	0.2613913805
427	0.261275524
428	0.2610811595
429	0.2608369931
430	0.2606550306
431	0.2605358828
432	0.2603724467
433	0.2602324947
434	0.2600501925
435	0.259878749
436	0.2596564672
437	0.2595453191
438	0.2593832031
439	0.2592535437
440	0.2591008473
441	0.2588599904
442	0.2586672742
443	0.2584989714
444	0.2583665639
445	0.2582169675
446	0.2580485005
447	0.2579111898
448	0.2577815594
449	0.2576016206
450	0.2574421822
451	0.2572675157
452	0.2570604836
453	0.2569486377
454	0.2567920475
455	0.2567106049
456	0.256551755
457	0.2563694604
458	0.2563273324
459	0.2561731337
460	0.2560106006
461	0.2558448587
462	0.2556749465
463	0.2556347844
464	0.2556238347
465	0.2554985615
466	0.2553649182
467	0.2551457967
468	0.2550685259
469	0.2549596427
470	0.2548437452
471	0.2546723345
472	0.2544920393
473	0.2542939852
474	0.2542578584
475	0.2541145795
476	0.2539594665
477	0.2538091407
478	0.2535476179
479	0.2534303161
480	0.2531146847
481	0.2530263604
482	0.2528666539
483	0.2526707534
484	0.2525063996
485	0.2523981339
486	0.2522994675
487	0.2521816147
488	0.2520180311
489	0.2518218744
490	0.2517136576
491	0.2516749371
492	0.251473827
493	0.2513301742
494	0.2511940874
495	0.2510917228
496	0.2509383812
497	0.2508469133
498	0.2507149036
499	0.2505640726
